TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
Romae	B-place	_	B-place	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
8	O	_	O	_	_	O	_	_	NoSpaceAfter
Musa	B-person	_	B-person	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
mihi	O	_	O	_	_	O	_	_	_
causas	O	_	O	_	_	O	_	_	_
memora	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
quo	O	_	O	_	_	O	_	_	_
numine	O	_	O	_	_	O	_	_	_
laeso	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
quidve	O	_	O	_	_	O	_	_	_
dolens	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
regina	O	_	O	_	_	O	_	_	_
deum	O	_	O	_	_	O	_	_	_
tot	O	_	O	_	_	O	_	_	_
volvere	O	_	O	_	_	O	_	_	_
casus	O	_	O	_	_	O	_	_	NoSpaceAfter
insignem	O	_	O	_	_	O	_	_	_
pietate	O	_	O	_	_	O	_	_	_
virum	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
tot	O	_	O	_	_	O	_	_	_
adire	O	_	O	_	_	O	_	_	_
labores	O	_	O	_	_	O	_	_	NoSpaceAfter
impulerit	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
Tantaene	O	_	O	_	_	O	_	_	_
animis	O	_	O	_	_	O	_	_	_
caelestibus	O	_	O	_	_	O	_	_	_
irae	O	_	O	_	_	O	_	_	NoSpaceAfter
?	O	_	O	_	_	O	_	_	EndOfSentence
12	O	_	O	_	_	O	_	_	NoSpaceAfter
Urbs	O	_	O	_	_	O	_	_	_
antiqua	O	_	O	_	_	O	_	_	_
fuit	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
Tyrii	B-collective	_	B-collective.ethnic	_	_	O	_	_	_
tenuere	O	_	O	_	_	O	_	_	_
coloni	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
Karthago	B-place	_	B-place	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
Italiam	B-place	_	B-place	_	_	O	_	_	_
contra	O	_	O	_	_	O	_	_	_
Tiberinaque	B-place	_	B-place	_	_	O	_	_	Partial-0:8
longe	O	_	O	_	_	O	_	_	NoSpaceAfter
ostia	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
dives	O	_	O	_	_	O	_	_	_
opum	O	_	O	_	_	O	_	_	_
studiisque	O	_	O	_	_	O	_	_	_
asperrima	O	_	O	_	_	O	_	_	_
belli	O	_	O	_	_	O	_	_	NoSpaceAfter
;	O	_	O	_	_	O	_	_	NoSpaceAfter
quam	O	_	O	_	_	O	_	_	_
Iuno	B-person	_	B-person	_	_	O	_	_	_
fertur	O	_	O	_	_	O	_	_	_
terris	O	_	O	_	_	O	_	_	_
magis	O	_	O	_	_	O	_	_	_
omnibus	O	_	O	_	_	O	_	_	_
unam	O	_	O	_	_	O	_	_	NoSpaceAfter
posthabita	O	_	O	_	_	O	_	_	_
coluisse	O	_	O	_	_	O	_	_	_
Samo	B-place	_	B-place	_	_	O	_	_	NoSpaceAfter
;	O	_	O	_	_	O	_	_	_
hic	O	_	O	_	_	O	_	_	_
illius	O	_	O	_	_	O	_	_	_
arma	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
hic	O	_	O	_	_	O	_	_	_
currus	O	_	O	_	_	O	_	_	_
fuit	O	_	O	_	_	O	_	_	NoSpaceAfter
;	O	_	O	_	_	O	_	_	_
hoc	O	_	O	_	_	O	_	_	_
regnum	O	_	O	_	_	O	_	_	_
dea	O	_	O	_	_	O	_	_	_
gentibus	O	_	O	_	_	O	_	_	_
esse	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
si	O	_	O	_	_	O	_	_	_
qua	O	_	O	_	_	O	_	_	_
fata	O	_	O	_	_	O	_	_	_
sinant	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
iam	O	_	O	_	_	O	_	_	_
tum	O	_	O	_	_	O	_	_	_
tenditque	O	_	O	_	_	O	_	_	_
fovetque	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
Progeniem	O	_	O	_	_	O	_	_	_
sed	O	_	O	_	_	O	_	_	_
enim	O	_	O	_	_	O	_	_	_
Troiano	B-place	_	B-place.derivative	_	_	O	_	_	_
a	O	_	O	_	_	O	_	_	_
sanguine	O	_	O	_	_	O	_	_	_
duci	O	_	O	_	_	O	_	_	NoSpaceAfter
audierat	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
Tyrias	B-person	_	B-person.derivative	_	_	O	_	_	_
olim	O	_	O	_	_	O	_	_	_
quae	O	_	O	_	_	O	_	_	_
verteret	O	_	O	_	_	O	_	_	_
arces	O	_	O	_	_	O	_	_	NoSpaceAfter
;	O	_	O	_	_	O	_	_	NoSpaceAfter
hinc	O	_	O	_	_	O	_	_	_
populum	O	_	O	_	_	O	_	_	_
late	O	_	O	_	_	O	_	_	_
regem	O	_	O	_	_	O	_	_	_
belloque	O	_	O	_	_	O	_	_	_
superbum	O	_	O	_	_	O	_	_	NoSpaceAfter
venturum	O	_	O	_	_	O	_	_	_
excidio	O	_	O	_	_	O	_	_	_
Libyae	B-place	_	B-place	_	_	O	_	_	NoSpaceAfter
:	O	_	O	_	_	O	_	_	_
sic	O	_	O	_	_	O	_	_	_
volvere	O	_	O	_	_	O	_	_	_
Parcas	B-collective	_	B-collective	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
Id	O	_	O	_	_	O	_	_	_
metuens	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
veterisque	O	_	O	_	_	O	_	_	_
memor	O	_	O	_	_	O	_	_	_
Saturnia	B-person	_	B-person.ancestry	_	_	O	_	_	_
belli	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
prima	O	_	O	_	_	O	_	_	_
quod	O	_	O	_	_	O	_	_	_
ad	O	_	O	_	_	O	_	_	_
Troiam	B-place	_	B-place	_	_	O	_	_	_
pro	O	_	O	_	_	O	_	_	_
caris	O	_	O	_	_	O	_	_	_
gesserat	O	_	O	_	_	O	_	_	_
Argis	B-collective	_	B-collective.ethnic	_	_	O	_	_	NoSpaceAfter
—	O	_	O	_	_	O	_	_	NoSpaceAfter
necdum	O	_	O	_	_	O	_	_	_
etiam	O	_	O	_	_	O	_	_	_
causae	O	_	O	_	_	O	_	_	_
irarum	O	_	O	_	_	O	_	_	_
saevique	O	_	O	_	_	O	_	_	_
dolores	O	_	O	_	_	O	_	_	NoSpaceAfter
exciderant	O	_	O	_	_	O	_	_	_
animo	O	_	O	_	_	O	_	_	NoSpaceAfter
:	O	_	O	_	_	O	_	_	_
manet	O	_	O	_	_	O	_	_	_
alta	O	_	O	_	_	O	_	_	_
mente	O	_	O	_	_	O	_	_	_
repostum	O	_	O	_	_	O	_	_	NoSpaceAfter
iudicium	O	_	O	_	_	O	_	_	_
Paridis	B-person	_	B-person	_	_	O	_	_	_
spretaeque	O	_	O	_	_	O	_	_	_
iniuria	O	_	O	_	_	O	_	_	_
formae	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
et	O	_	O	_	_	O	_	_	_
genus	O	_	O	_	_	O	_	_	_
invisum	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
rapti	O	_	O	_	_	O	_	_	_
Ganymedis	B-person	_	B-person	_	_	O	_	_	_
honores	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
His	O	_	O	_	_	O	_	_	_
accensa	O	_	O	_	_	O	_	_	_
super	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
iactatos	O	_	O	_	_	O	_	_	_
aequore	O	_	O	_	_	O	_	_	_
toto	O	_	O	_	_	O	_	_	NoSpaceAfter
Troas	B-collective	_	B-collective.ethnic	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
reliquias	O	_	O	_	_	O	_	_	_
Danaum	B-collective	_	B-collective.ethnic	_	_	O	_	_	_
atque	O	_	O	_	_	O	_	_	_
immitis	O	_	O	_	_	O	_	_	_
Achilli	B-person	_	B-person	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
arcebat	O	_	O	_	_	O	_	_	_
longe	O	_	O	_	_	O	_	_	_
Latio	B-place	_	B-place	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
multosque	O	_	O	_	_	O	_	_	_
per	O	_	O	_	_	O	_	_	_
annos	O	_	O	_	_	O	_	_	NoSpaceAfter
errabant	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
acti	O	_	O	_	_	O	_	_	_
fatis	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
maria	O	_	O	_	_	O	_	_	_
omnia	O	_	O	_	_	O	_	_	_
circum	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
Tantae	O	_	O	_	_	O	_	_	_
molis	O	_	O	_	_	O	_	_	_
erat	O	_	O	_	_	O	_	_	_
Romanam	O	_	O	_	_	O	_	_	_
condere	O	_	O	_	_	O	_	_	_
gentem	O	_	O	_	_	O	_	_	NoSpaceAfter
!	O	_	O	_	_	O	_	_	EndOfSentence
34	O	_	O	_	_	O	_	_	NoSpaceAfter
Vix	O	_	O	_	_	O	_	_	_
e	O	_	O	_	_	O	_	_	_
conspectu	O	_	O	_	_	O	_	_	_
Siculae	B-place	_	B-place	_	_	O	_	_	_
telluris	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
altum	O	_	O	_	_	O	_	_	NoSpaceAfter
vela	O	_	O	_	_	O	_	_	_
dabant	O	_	O	_	_	O	_	_	_
laeti	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
spumas	O	_	O	_	_	O	_	_	_
salis	O	_	O	_	_	O	_	_	_
aere	O	_	O	_	_	O	_	_	_
ruebant	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
cum	O	_	O	_	_	O	_	_	_
Iuno	B-person	_	B-person	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
aeternum	O	_	O	_	_	O	_	_	_
servans	O	_	O	_	_	O	_	_	_
sub	O	_	O	_	_	O	_	_	_
pectore	O	_	O	_	_	O	_	_	_
volnus	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
haec	O	_	O	_	_	O	_	_	_
secum	O	_	O	_	_	O	_	_	NoSpaceAfter
:	O	_	O	_	_	O	_	_	_
Mene	O	_	O	_	_	O	_	_	_
incepto	O	_	O	_	_	O	_	_	_
desistere	O	_	O	_	_	O	_	_	_
victam	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
nec	O	_	O	_	_	O	_	_	_
posse	O	_	O	_	_	O	_	_	_
Italia	B-place	_	B-place	_	_	O	_	_	_
Teucrorum	B-collective	_	B-collective.ethnic	_	_	O	_	_	_
avertere	O	_	O	_	_	O	_	_	_
regem	O	_	O	_	_	O	_	_	NoSpaceAfter
?	O	_	O	_	_	O	_	_	EndOfSentence
Quippe	O	_	O	_	_	O	_	_	_
vetor	O	_	O	_	_	O	_	_	_
fatis	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
Pallasne	B-person	_	B-person.epithet	_	_	O	_	_	Partial-0:6
exurere	O	_	O	_	_	O	_	_	_
classem	O	_	O	_	_	O	_	_	NoSpaceAfter
Argivum	B-collective	_	B-collective.ethnic	_	_	O	_	_	_
atque	O	_	O	_	_	O	_	_	_
ipsos	O	_	O	_	_	O	_	_	_
potuit	O	_	O	_	_	O	_	_	_
submergere	O	_	O	_	_	O	_	_	_
ponto	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
unius	O	_	O	_	_	O	_	_	_
ob	O	_	O	_	_	O	_	_	_
noxam	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
furias	O	_	O	_	_	O	_	_	_
Aiacis	B-person	_	B-person	_	_	O	_	_	_
Oilei	I-person	_	I-person	_	_	O	_	_	NoSpaceAfter
?	O	_	O	_	_	O	_	_	EndOfSentence
Ipsa	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
Iovis	B-person	_	B-person	_	_	O	_	_	_
rapidum	O	_	O	_	_	O	_	_	_
iaculata	O	_	O	_	_	O	_	_	_
e	O	_	O	_	_	O	_	_	_
nubibus	O	_	O	_	_	O	_	_	_
ignem	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
disiecitque	O	_	O	_	_	O	_	_	_
rates	O	_	O	_	_	O	_	_	_
evertitque	O	_	O	_	_	O	_	_	_
aequora	O	_	O	_	_	O	_	_	_
ventis	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
illum	O	_	O	_	_	O	_	_	_
expirantem	O	_	O	_	_	O	_	_	_
transfixo	O	_	O	_	_	O	_	_	_
pectore	O	_	O	_	_	O	_	_	_
flammas	O	_	O	_	_	O	_	_	NoSpaceAfter
turbine	O	_	O	_	_	O	_	_	_
corripuit	O	_	O	_	_	O	_	_	_
scopuloque	O	_	O	_	_	O	_	_	_
infixit	O	_	O	_	_	O	_	_	_
acuto	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
Ast	O	_	O	_	_	O	_	_	_
ego	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
quae	O	_	O	_	_	O	_	_	_
divom	O	_	O	_	_	O	_	_	_
incedo	O	_	O	_	_	O	_	_	_
regina	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
Iovisque	B-person	_	B-person	_	_	O	_	_	NoSpaceAfter|Partial-0:5
et	O	_	O	_	_	O	_	_	_
soror	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
coniunx	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
una	O	_	O	_	_	O	_	_	_
cum	O	_	O	_	_	O	_	_	_
gente	O	_	O	_	_	O	_	_	_
tot	O	_	O	_	_	O	_	_	_
annos	O	_	O	_	_	O	_	_	NoSpaceAfter
bella	O	_	O	_	_	O	_	_	_
gero	O	_	O	_	_	O	_	_	NoSpaceAfter
!	O	_	O	_	_	O	_	_	EndOfSentence
Et	O	_	O	_	_	O	_	_	_
quisquam	O	_	O	_	_	O	_	_	_
numen	O	_	O	_	_	O	_	_	_
Iunonis	B-person	_	B-person	_	_	O	_	_	_
adoret	O	_	O	_	_	O	_	_	NoSpaceAfter
praeterea	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
aut	O	_	O	_	_	O	_	_	_
supplex	O	_	O	_	_	O	_	_	_
aris	O	_	O	_	_	O	_	_	_
imponet	O	_	O	_	_	O	_	_	_
honorem	O	_	O	_	_	O	_	_	NoSpaceAfter
?	O	_	O	_	_	O	_	_	EndOfSentence
50	O	_	O	_	_	O	_	_	NoSpaceAfter
Talia	O	_	O	_	_	O	_	_	_
flammato	O	_	O	_	_	O	_	_	_
secum	O	_	O	_	_	O	_	_	_
dea	O	_	O	_	_	O	_	_	_
corde	O	_	O	_	_	O	_	_	_
volutans	O	_	O	_	_	O	_	_	NoSpaceAfter
nimborum	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
patriam	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
loca	O	_	O	_	_	O	_	_	_
feta	O	_	O	_	_	O	_	_	_
furentibus	O	_	O	_	_	O	_	_	_
austris	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
Aeoliam	B-place	_	B-place	_	_	O	_	_	_
venit	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
Hic	O	_	O	_	_	O	_	_	_
vasto	O	_	O	_	_	O	_	_	_
rex	O	_	O	_	_	O	_	_	_
Aeolus	B-person	_	B-person	_	_	O	_	_	_
antro	O	_	O	_	_	O	_	_	NoSpaceAfter
luctantes	O	_	O	_	_	O	_	_	_
ventos	O	_	O	_	_	O	_	_	_
tempestatesque	O	_	O	_	_	O	_	_	_
sonoras	O	_	O	_	_	O	_	_	NoSpaceAfter
imperio	O	_	O	_	_	O	_	_	_
premit	O	_	O	_	_	O	_	_	_
ac	O	_	O	_	_	O	_	_	_
vinclis	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
carcere	O	_	O	_	_	O	_	_	_
frenat	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
Illi	O	_	O	_	_	O	_	_	_
indignantes	O	_	O	_	_	O	_	_	_
magno	O	_	O	_	_	O	_	_	_
cum	O	_	O	_	_	O	_	_	_
murmure	O	_	O	_	_	O	_	_	_
montis	O	_	O	_	_	O	_	_	NoSpaceAfter
circum	O	_	O	_	_	O	_	_	_
claustra	O	_	O	_	_	O	_	_	_
fremunt	O	_	O	_	_	O	_	_	NoSpaceAfter
;	O	_	O	_	_	O	_	_	_
celsa	O	_	O	_	_	O	_	_	_
sedet	O	_	O	_	_	O	_	_	_
Aeolus	B-person	_	B-person	_	_	O	_	_	_
arce	O	_	O	_	_	O	_	_	NoSpaceAfter
sceptra	O	_	O	_	_	O	_	_	_
tenens	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
mollitque	O	_	O	_	_	O	_	_	_
animos	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
temperat	O	_	O	_	_	O	_	_	_
iras	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
Ni	O	_	O	_	_	O	_	_	_
faciat	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
maria	O	_	O	_	_	O	_	_	_
ac	O	_	O	_	_	O	_	_	_
terras	O	_	O	_	_	O	_	_	_
caelumque	O	_	O	_	_	O	_	_	_
profundum	O	_	O	_	_	O	_	_	NoSpaceAfter
quippe	O	_	O	_	_	O	_	_	_
ferant	O	_	O	_	_	O	_	_	_
rapidi	O	_	O	_	_	O	_	_	_
secum	O	_	O	_	_	O	_	_	_
verrantque	O	_	O	_	_	O	_	_	_
per	O	_	O	_	_	O	_	_	_
auras	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
Sed	O	_	O	_	_	O	_	_	_
pater	O	_	O	_	_	O	_	_	_
omnipotens	O	_	O	_	_	O	_	_	_
speluncis	O	_	O	_	_	O	_	_	_
abdidit	O	_	O	_	_	O	_	_	_
atris	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
hoc	O	_	O	_	_	O	_	_	_
metuens	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
molemque	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
montis	O	_	O	_	_	O	_	_	_
insuper	O	_	O	_	_	O	_	_	_
altos	O	_	O	_	_	O	_	_	NoSpaceAfter
imposuit	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
regemque	O	_	O	_	_	O	_	_	_
dedit	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
qui	O	_	O	_	_	O	_	_	_
foedere	O	_	O	_	_	O	_	_	_
certo	O	_	O	_	_	O	_	_	NoSpaceAfter
et	O	_	O	_	_	O	_	_	_
premere	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
laxas	O	_	O	_	_	O	_	_	_
sciret	O	_	O	_	_	O	_	_	_
dare	O	_	O	_	_	O	_	_	_
iussus	O	_	O	_	_	O	_	_	_
habenas	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
Ad	O	_	O	_	_	O	_	_	_
quem	O	_	O	_	_	O	_	_	_
tum	O	_	O	_	_	O	_	_	_
Iuno	B-person	_	B-person	_	_	O	_	_	_
supplex	O	_	O	_	_	O	_	_	_
his	O	_	O	_	_	O	_	_	_
vocibus	O	_	O	_	_	O	_	_	_
usa	O	_	O	_	_	O	_	_	_
est	O	_	O	_	_	O	_	_	NoSpaceAfter
:	O	_	O	_	_	O	_	_	NoSpaceAfter
65	O	_	O	_	_	O	_	_	NoSpaceAfter
Aeole	B-person	_	B-person	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
namque	O	_	O	_	_	O	_	_	_
tibi	O	_	O	_	_	O	_	_	_
divom	O	_	O	_	_	O	_	_	_
pater	O	_	O	_	_	O	_	_	_
atque	O	_	O	_	_	O	_	_	_
hominum	O	_	O	_	_	O	_	_	_
rex	O	_	O	_	_	O	_	_	NoSpaceAfter
et	O	_	O	_	_	O	_	_	_
mulcere	O	_	O	_	_	O	_	_	_
dedit	O	_	O	_	_	O	_	_	_
fluctus	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
tollere	O	_	O	_	_	O	_	_	_
vento	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
gens	O	_	O	_	_	O	_	_	_
inimica	O	_	O	_	_	O	_	_	_
mihi	O	_	O	_	_	O	_	_	_
Tyrrhenum	B-place	_	B-place	_	_	O	_	_	_
navigat	O	_	O	_	_	O	_	_	_
aequor	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
Ilium	B-place	_	B-place	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
Italiam	B-place	_	B-place	_	_	O	_	_	_
portans	O	_	O	_	_	O	_	_	_
victosque	O	_	O	_	_	O	_	_	_
Penates	B-collective	_	B-collective	_	_	O	_	_	NoSpaceAfter
:	O	_	O	_	_	O	_	_	NoSpaceAfter
incute	O	_	O	_	_	O	_	_	_
vim	O	_	O	_	_	O	_	_	_
ventis	O	_	O	_	_	O	_	_	_
submersasque	O	_	O	_	_	O	_	_	_
obrue	O	_	O	_	_	O	_	_	_
puppes	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
aut	O	_	O	_	_	O	_	_	_
age	O	_	O	_	_	O	_	_	_
diversos	O	_	O	_	_	O	_	_	_
et	O	_	O	_	_	O	_	_	_
disiice	O	_	O	_	_	O	_	_	_
corpora	O	_	O	_	_	O	_	_	_
ponto	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
Sunt	O	_	O	_	_	O	_	_	_
mihi	O	_	O	_	_	O	_	_	_
bis	O	_	O	_	_	O	_	_	_
septem	O	_	O	_	_	O	_	_	_
praestanti	O	_	O	_	_	O	_	_	_
corpore	O	_	O	_	_	O	_	_	_
nymphae	B-collective	_	B-collective	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
quarum	O	_	O	_	_	O	_	_	_
